,count_m,cvol_s_p,cvol_s_m,cvol_t_p,cvol_t_m,cvol_m,dxy_200_p,dxy_200_m,prc_std,prc_std_1000,std_std_prc
173,4.630458796,0.938377538,1.017982547,55.49393401,-129.3620216,0.05,-21.32426504,10.02936071,0.175,0.225,0.16453594
174,4.433411652,0.922105922,0.929077616,60.34356649,-111.4689836,0.05,-29.61637577,9.821690955,0.175,0.225,0.166657495
175,4.600307788,1.023766124,1.034270307,125.034478,-86.52413134,0.05,-31.34688371,38.99508293,0.175,0.225,0.166265133
176,4.236119616,0.392711559,0.148734414,44.48155609,-100.0979867,0.05,-100.76183,-160.1193524,0.175,0.225,0.120000384
177,3.743024455,0.15005919,0.0996958269999999,38.54874494,-87.47913170000002,0.05,-17.97383374,-109.4798834,0.33947983,0.3785658120000001,0.136717315
178,2.6970162230000003,0.251652995,0.237950596,38.13067478,-43.50963945,0.05,5.03735072,-7.204845091,0.213086155,0.206491905,0.171195548
179,2.591106023,0.132660721,0.130758467,37.23196179999999,-37.02891194,0.05,13.7967633,-6.50719405,0.225020746,0.22044142,0.165512565
180,5.941361138,0.137793963,0.197566885,127.7967735,-156.5231044,0.05,152.7967915,65.37573477,1.015031807,101.1757116,0.401731421
181,6.115855355,0.079224555,0.130880719,102.0717824,-120.1840203,0.05,107.652575,-22.72825504,1.126095771,59.27249007,0.292397401
182,5.82031941,0.057555387,0.11377584,66.92488339,-132.5685775,0.05,95.15827477,-17.31617628,1.046269639,45.30249771,0.267352661
183,5.6042299710000005,0.057555387,0.06945109,66.92488339,-93.62488233,0.05,95.15827477,-28.05414346,0.990070317,36.99615744,0.250017683
184,5.480683993,0.057555387,0.0567798059999999,66.92488339,-80.79462395,0.05,95.15827477,2.10339706,0.988154163,33.48508769,0.238588696
185,5.3575664530000005,0.04805539,0.050167247,64.01521963,-65.75201722,0.05,104.9959307,4.44100857,0.926154703,28.61313312,0.231470969
186,5.515503804,0.046013864,0.046357595,116.9742862,-53.09006181,0.05,113.1914057,21.29042277,0.931516925,26.74183877,0.227196459
187,4.415340321,0.209800903,0.242447411,124.17674540000002,-65.3213995,0.05,25.14121865,16.74446451,0.3183787839999999,17.01306358,0.252917208
188,3.471861311,0.334984248,0.185795986,87.02696531,-88.29063359999998,0.05,-3.251604448,-54.26461344,0.256814489,0.578986756,0.161234504
189,3.814449911,0.17024905,0.09870072,39.60063609,-79.21719263,0.05,-50.39045034,-91.26087898,0.297682268,0.494868009,0.154913513
190,3.730571412,0.103254114,0.066971861,36.5543671,-63.62238452,0.05,-33.24814313,-92.15393628,0.314181009,0.429882429,0.150663252
191,3.650137704,0.070707704,0.055240814,57.72553985,-58.35744684,0.05,-5.976937853,-68.782023,0.324053456,0.416444522,0.146518704
192,3.494204621,0.056785043,0.046312044,50.33103665,-51.97838307,0.05,0.154974443,-50.34642193,0.3021319839999999,0.3775107689999999,0.1607821509999999
193,3.377836398,0.048114534,0.041125247,44.20025944,-48.66211813,0.05,8.149555196,-50.62384518,0.298024106,0.363202763,0.160171048
194,3.947848694,0.2047077,0.2202026789999999,66.90102783,-57.92149291,0.05,3.5705990310000004,9.70533898,0.245582832,9.999587066,0.2229508039999999
195,3.686542043,0.127624999,0.135745601,41.709767600000006,-54.52096558,0.05,12.40892799,-11.09213813,0.218937426,5.956152378,0.22352731
196,3.490934374,0.095685653,0.09485944,38.23809601,-58.10447278,0.05,11.13732068,-21.97213639,0.216520656,4.27531901,0.212871057
197,2.948729152,0.232187592,0.307936975,47.34661429,-62.70083708,0.05,51.46064651,63.55112533,0.164828365,0.506593415,0.208395373
198,2.868903784,0.164427076,0.169989012,34.31627235,-42.90547958,0.05,13.78658673,15.28614272,0.167781865,0.366381691,0.2018515239999999
199,4.986178382,0.183270903,0.2591812069999999,208.053563,-61.21202950000001,0.05,50.28435923,57.3608923,0.320360304,0.656439056,0.1711704369999999
200,4.719426432,0.115886299,0.145777141,176.06868830000005,-62.71684737,0.05,40.93452315,13.30818704,0.288040062,0.488925,0.1769345739999999
201,4.304657627,0.083399787,0.098198922,146.9390554,-59.06244884,0.05,33.85436164,-8.644720238,0.275999111,0.401310421,0.167535405
202,4.087248549,0.066655936,0.076030677,118.32481,-59.80827992,0.05,13.68040782,-26.22368297,0.256727616,0.354090884,0.17630816
203,4.064998888,0.058657079,0.065237403,113.1461112,-55.12921218,0.05,11.21850503,-23.28728793,0.242347796,0.326981123,0.1833224269999999
204,5.1672607132823565,0.3358694623260946,0.3084007354234743,79.7509335364113,-66.51169344880297,0.0282889433657715,-60.08133523898787,-22.133200553849463,0.2909016821826826,0.7564758244008826,0.1907362362323209
205,5.1299062819635095,0.1838680781897216,0.2581953101121011,72.19725399193621,-97.80567028821817,0.0231661084005652,-19.44068536787969,-28.56083344684857,0.2644606655485256,0.5592959544035875,0.2018313423784128
206,5.108584376779102,0.139451929603113,0.2191883181104604,67.69617124950568,-107.27691135455856,0.0206979972489052,-21.593027544564382,-24.46956222525191,0.264476088864069,0.4893900660694971,0.2061184174120893
207,4.915894618286084,0.1066300741344515,0.1611747113924624,69.02820143818568,-82.64263310811829,0.0177587225350481,-17.52539012982056,-6.039323279484111,0.2387583707153202,0.4110638140588394,0.2136454014163285
208,4.883091020056567,0.0895600615034524,0.128623860402463,81.37267752065985,-72.70030433476163,0.0165134280172482,-17.943364190304766,5.043721379248884,0.2347421391269778,0.3773832098366572,0.2123897864338232
